,rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
76,m/the_wolf_of_wall_street_2013,Ann Hornaday,True,Washington Post,Rotten,6.25,2013-12-24,"""The Wolf of Wall Street"" remains one-note even at is most outré, an episodic portrait of rapaciousness in which decadence escalates into debauchery escalates into depravity - but, miraculously, not death."
77,m/the_wolf_of_wall_street_2013,Bruce Kirkland,False,Jam! Movies,Fresh,8.0,2013-12-24,The film looks beautiful; the loose editing creates an overlong but still compelling structure; and Scorsese finesses the way the film pulses -- like Belfort's racing heart -- with a dangerous jazzy rhythm.
78,m/the_wolf_of_wall_street_2013,Chris Hewitt,False,St. Paul Pioneer Press,Rotten,5.0,2013-12-24,"It's showy, but it doesn't amount to much."
79,m/the_wolf_of_wall_street_2013,Carla Meyer,False,Sacramento Bee,Rotten,5.0,2013-12-24,"Overlong by an hour and overindulgent by infinity, Martin Scorsese's The Wolf of Wall Street entertains at times but mostly numbs."
80,m/the_wolf_of_wall_street_2013,Cary Darling,True,Fort Worth Star-Telegram/DFW.com,Fresh,8.0,2013-12-24,"So it's a relief and a pleasant surprise that Wall Street, despite some missteps and the need for an editor, mostly manages to live up to the interest generated by its kinetic trailers and the heavy hand of hype."
81,m/the_wolf_of_wall_street_2013,Peter Howell,True,Toronto Star,Fresh,7.5,2013-12-24,"If you're down with a character arc that's as short as a crack pipe and equally resistant to temperance, then Martin Scorsese's latest picture is your chance to howl."
82,m/the_wolf_of_wall_street_2013,Liam Lacey,True,Globe and Mail,Fresh,10.0,2013-12-24,"Oh, my, my. Martin Scorsese's The Wolf of Wall Street is outrageous, an offense against modesty, a shameless celebration of bad conduct."
83,m/the_wolf_of_wall_street_2013,Bill Clark,False,FromTheBalcony,Fresh,9.0,2013-12-24,"As a retelling of Belfort's rise to power and influence, The Wolf of Wall Street is as electric as any movie in years."
84,m/the_wolf_of_wall_street_2013,Justin Craig,False,FoxNews.com,Fresh,10.0,2013-12-24,"Wild, offbeat and insane, ""The Wolf of Wall Street"" is one of the year's best films and a definite career-topper for DiCaprio who, with Scorsese, have given us another phenomenal collaboration"
85,m/the_wolf_of_wall_street_2013,Michael Sragow,True,Orange County Register,Fresh,7.0,2013-12-24,"This sprawling mock epic about a sleazy penny stock whiz contains scenes of astonishing black-comic brilliance, but it's also solipsistic and exhausting."
86,m/the_wolf_of_wall_street_2013,Jon Niccum,False,Kansas City Star,Fresh,8.75,2013-12-24,"There's a certain hollowness to Scorsese's rags-to-riches-to-plea-bargaining tales. A hangover quality. It's less noticeable in ""Wolf"" because of the sheer force of DiCaprio's portrayal."
87,m/the_wolf_of_wall_street_2013,A.A. Dowd,True,AV Club,Fresh,9.0,2013-12-24,"At three hours, The Wolf Of Wall Street is Scorsese's longest movie (barely edging out Casino). It's also his crassest, his loudest, maybe his funniest."
88,m/the_wolf_of_wall_street_2013,Steven Rea,True,Philadelphia Inquirer,Rotten,6.25,2013-12-24,"As thrilling a filmmaker as Martin Scorsese continues to be, and as wild a performance as Leonardo DiCaprio dishes up as its morally bankrupt master of the universe, The Wolf of Wall Street seems almost entirely unnecessary."
89,m/the_wolf_of_wall_street_2013,Julian Roman,False,MovieWeb,Fresh,8.0,2013-12-24,"An unbridled tale of drug fueled sex and avarice, The Wolf of Wall Street moves like a breeze for its three hour runtime."
90,m/the_wolf_of_wall_street_2013,Tony Medley,False,Tolucan Times,Rotten,6.0,2013-12-25,"...while it justifiably indicts the conflict of interest pervasive in the stock broker profession, three hours of all this debauchery is just too much...and to not even mention one victim in 3 hours? That's inexcusable and superficial movie-making."
91,m/the_wolf_of_wall_street_2013,Diana Saenger,False,ReviewExpress.com,Rotten,2.0,2013-12-25,"Too much explicit sex, drugs and profanity"
92,m/the_wolf_of_wall_street_2013,Matt Kelemen,False,AspectRatio.us,Fresh,7.0,2013-12-25,"... it's a good film, not a great one. Considering the source material and a protagonist that any actor would have a hard time making likeable, though, it's as great as it can be."
93,m/the_wolf_of_wall_street_2013,Mara Reinstein,True,Us Weekly,Fresh,7.5,2013-12-25,"Imagine walking into a blow-the-roof-off party. Naked ladies galore. Pills popped like Tic Tacs. A game involving a dwarf and a bull's-eye. Crazy fun for a while, right? But then you're stuck there with a bunch of jerks. For three hours."
94,m/the_wolf_of_wall_street_2013,Mark Dujsik,False,Mark Reviews Movies,Fresh,8.75,2013-12-25,Scorsese doesn't actively condemn these characters in the way a traditional moralist would... He allows the characters to damn themselves.
95,m/the_wolf_of_wall_street_2013,Tim Brayton,False,Antagony & Ecstasy,Fresh,6.0,2013-12-26,"DiCaprio single-handedly makes it worth the significant time commitment, but this is not filmmaking at the level of creativity and panache of the best Scorsese."
96,m/the_wolf_of_wall_street_2013,Robert Kojder,False,What Culture,Fresh,10.0,2013-12-26,"I'm not saying after writing this review I'm going to go pop some Quaaludes, but even for those staunchly opposed to drugs or rampant sex or getting rich, it's impossible not to become absolutely immersed."
97,m/the_wolf_of_wall_street_2013,James Verniere,False,Boston Herald,Fresh,10.0,2013-12-26,The real 'Great Gatsby' and the best performance DiCaprio has given in a Scorsese movie.
98,m/the_wolf_of_wall_street_2013,Al Alexander,False,The Patriot Ledger,Rotten,1.0,2013-12-26,"It's sick and disturbing in all the wrong ways, rendering this 'Wolf' nothing but a dog."
99,m/the_wolf_of_wall_street_2013,Adam Fendelman,False,HollywoodChicago.com,Fresh,9.0,2013-12-26,"Despite my bladder nearly not making it after 3 hours, thankfully the true story of Jordan Belfort kept me completely distracted and entertained at the behest of my bodily needs."
100,m/the_wolf_of_wall_street_2013,Jeff Meyers,False,"Metro Times (Detroit, MI)",Fresh,7.0,2013-12-26,"The 71-year-old Scorsese is in full-on gonzo mode here, giddily leering over every tacky, morally bankrupt act of decadence. But eventually the film's three hours exhaust rather than enlighten."
101,m/the_wolf_of_wall_street_2013,Kirk Honeycutt,False,honeycuttshollywood.com,Fresh,7.0,2013-12-26,"Leonardo DiCaprio's most relaxed, extravagant, wildly comic and innovative performance as an adult"
102,m/the_wolf_of_wall_street_2013,Lawrence Toppman,False,Charlotte Observer,Rotten,1.0,2013-12-26,"Here's something I never expected to say, something I doubt I'd have believed if someone else had said it to me: Martin Scorsese can make a three-hour movie without one fresh perspective or compelling character from end to end."
103,m/the_wolf_of_wall_street_2013,Stephen Silver,False,EntertainmentTell,Fresh,10.0,2013-12-26,"Extremely audacious and also extremely great. ""American Hustle,"" a second-hand knockoff of this sort of movie, has been collecting undeserved critics awards and Oscar buzz for weeks. ""Wolf of Wall Street"" is the real thing,"
104,m/the_wolf_of_wall_street_2013,Ken Hanke,False,"Mountain Xpress (Asheville, NC)",Fresh,10.0,2013-12-26,The kind of sensation that you only get from a master filmmaker and it restores one's faith a little in film for its own sake.
105,m/the_wolf_of_wall_street_2013,Bob Bloom,False,"Journal and Courier (Lafayette, IN)",Fresh,8.75,2013-12-26,"""The Wolf of Wall Street"" is a bacchanal barrage of booze, broads and blow that will have you laughing - or shaking your head - because of its cynically unabashed exuberance."
106,m/the_wolf_of_wall_street_2013,Perry Seibert,False,TV Guide,Fresh,8.75,2013-12-26,"The Wolf of Wall Street is a hilarious, angry, and scathing indictment of greed. It's so funny you might not notice how deep it cuts."
107,m/the_wolf_of_wall_street_2013,Michael Burgin,False,Paste Magazine,Rotten,4.6,2013-12-26,The result is the indulgent treatment of an overindulgent character that feels more Penthouse Forum fantasy than morality tale. Perhaps that's precisely the point.
108,m/the_wolf_of_wall_street_2013,Lisa Kennedy,True,Denver Post,Rotten,6.25,2013-12-26,"It's hard not to feel there is a better revisit of Scorsese's crime gem already in theaters, David O. Russell's American Hustle."
109,m/the_wolf_of_wall_street_2013,Mick LaSalle,True,San Francisco Chronicle,Fresh,10.0,2013-12-26,"Though ""Raging Bull"" must still go down as Martin Scorsese's greatest achievement, ""The Wolf of Wall Street"" makes the race for No. 2 a lot more interesting."
110,m/the_wolf_of_wall_street_2013,Joe Gross,False,Austin American-Statesman,Rotten,4.0,2013-12-26,"As Johnny Rotten famously asked, ever get the feeling you've been cheated?"
111,m/the_wolf_of_wall_street_2013,Chris Nashawaty,True,Entertainment Weekly,Fresh,8.0,2013-12-26,"Scorsese has pulled off something tricky with Wolf: He's given us a thrilling cautionary tale about a guy who never for a second seems the slightest bit sorry for what he's done. If anything, he just had the bad luck to get caught."
112,m/the_wolf_of_wall_street_2013,Peter Rainer,True,Christian Science Monitor,Rotten,4.0,2013-12-26,DiCaprio doesn't seem terribly comfortable in the role despite all his strutting and posturing.
113,m/the_wolf_of_wall_street_2013,Tom Long,True,Detroit News,Rotten,5.0,2013-12-26,"At the highest level, it really is about getting your own, forget those down below. If so, that could have easily come across in two hours, it didn't need three."
114,m/the_wolf_of_wall_street_2013,Stephen Whitty,True,Newark Star-Ledger,Fresh,8.75,2013-12-26,"Why would a man cheat people out of millions and then spend it on hookers, 'ludes and stupid pranks? Hey, why wouldn't you?"
115,m/the_wolf_of_wall_street_2013,Matt Zoller Seitz,True,RogerEbert.com,Fresh,8.75,2013-12-26,One of the most entertaining films ever made about loathsome men.
116,m/the_wolf_of_wall_street_2013,Brian Orndorf,False,Blu-ray.com,Fresh,7.0,2013-12-26,"There's editorial slackness here that Scorsese hasn't displayed in years, lost in a tornado of actor tics and improvisations that transform sections of movie into Apatowian indecision."
117,m/the_wolf_of_wall_street_2013,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Rotten,5.0,2013-12-27,It takes three hours to tell a banal and venal story that held my attention for fifteen minutes.
118,m/the_wolf_of_wall_street_2013,Mike McGranaghan,False,Aisle Seat,Fresh,10.0,2013-12-27,"Wickedly funny, smart as a whip, and immensely perceptive, The Wolf of Wall Street shows that being addicted to money is every bit as damaging as addiction to substances, sex, or anything else."
119,m/the_wolf_of_wall_street_2013,Vincent Mancini,False,FilmDrunk,Fresh,8.0,2013-12-27,"While it is fun, hilarious, and entertaining as hell, Wolf of Wall Street isn't slimey enough for a film about a slimeball. It's the slimeball's dream reality."
120,m/the_wolf_of_wall_street_2013,John Beifuss,False,"Commercial Appeal (Memphis, TN)",Fresh,8.75,2013-12-27,"'Taxi Driver' diagnosed American sickness as interior and hellish, while 'Wolf' suggests the sickness has spread outward until the culture has become all but immune to the pangs of conscience and shame..."
121,m/the_wolf_of_wall_street_2013,Jeffrey M. Anderson,False,San Francisco Examiner,Fresh,8.75,2013-12-27,"Most impressive for its reckless, monstrous motion, fueled by energy exciting and rotten."
122,m/the_wolf_of_wall_street_2013,Philip Martin,False,Arkansas Democrat-Gazette,Fresh,8.8,2013-12-27,"...a black comedy that plays less like the Good Fellas on Wall Street it was pre-sold as than Good-Fellas on Merck Cocaine. It is a three-hour bacchanal, a restless and occasionally disjointed movie that feels as raw and rapacious as its protagonist"
123,m/the_wolf_of_wall_street_2013,Gary Wolcott,False,Tri-City Herald,Fresh,10.0,2013-12-28,"Martin Scorsese directs so 1) the performances are incredible, 2) the movie is very long and 3) it is one of the year's best movies."
124,m/the_wolf_of_wall_street_2013,Matt Brunson,False,Creative Loafing,Rotten,6.25,2013-12-28,"While this is the weakest of the five collaborations between Scorsese and DiCaprio, that's not putting any of the blame on the actor's shoulders. He's sensational."
125,m/the_wolf_of_wall_street_2013,Michael Dequina,False,TheMovieReport.com,Fresh,10.0,2013-12-29,No less than a brazenly brash and unabashed middle finger to any and all genteel expectations and sensibilities.
126,m/the_wolf_of_wall_street_2013,Robert Roten,False,Laramie Movie Scope,Fresh,7.0,2013-12-29,"This film, directed by Martin Scorcese, is based on a true story, otherwise, it wouldn't be believable."
127,m/the_wolf_of_wall_street_2013,John A. Nesbit,False,Old School Reviews,Fresh,9.0,2013-12-29,it first seduces and then repulses
